Genus + Species + Sub species + Authority,Checklist code,Endemic status,Status with Criteria (South Asia),National Status - 1,Map file,Synonyms,Common names,Family,Habit,Habitat,Niche,Distribution,Global,South Asia,Extent of Occurrence,Area of Occupancy,Locations/subpopulations,Habitat status,Data source - 1,Threats,Threats to the taxon,Trade,Data source - 2,Population,Generation time,Mature individuals,Population trend,Data source - 3,Red List 2001 Status derived in the workshop,Ver. 3.1:,1997 CAMP (Ver. 2.3):,National Status - 2,Uncertainty,Other status,Red List of Threatened Species (2000),Microchiroptera Action Plan (Global),Old World Fruit Bats Action Plan (Global),CITES,Known presence in Protected Areas,Recommendations ,Research,Management,Captive breeding,Comments ,Sources,Compilers,Reviewers,Recent Field Studies
"Eptesicus pachyotis (Dobson, 1871)",BAT12,Non Endemic to South Asia,DATA DEFICIENT in South Asia  ,"Bangladesh   Data Deficient 
India   Data Deficient   ",Eptesicus_pachyotis_map.pdf,"Vesperugo pachyotis  Dobson, 1871 ",Bengali: Motakanwala Chamchika  English: Thick-eared Bat,Vespertilionidae,Not known,Not known,,,"Bangladesh, India, Myanmar, Thailand, Tibet",BANGLADESH: Northern hill country (Sylhet): INDIA: Meghalaya Khasi Hills ,"< 5,000 sq km. Inferred based on literature",Not known,Not known ,Not known,Literature; inferred,,Not known,,,,Not known,Not known,Not known,,,DATA DEFICIENT  ,,"Bangladesh   Data Deficient 
India   Data Deficient   ",Assessed based on literature and on the consensus of field biologists.,,Lower Risk near threatened, Lower Risk least concern,,Not listed,None,,"Survey, taxonomic research, PHVA pending ","Monitoring, public awareness",Techniques not known at all. ,"Further taxonomic research to assess status of this bat is recommended. No information on population size, threats or distribution.","Bates & Harrison, 1997; Dobson, 1871; Khan, 2001; Wilson & Reeder, 1993","P.J.J. Bates, P.C.M.B. Digana, S. Kandula, G. Nair, R. Rajashekar, E.A.A. Shukkur, A. Thabah, W. Yapa",Rest of the participants,None 
"Eptesicus serotinus (Schreber, 1774)",BAT13,Non Endemic to South Asia,NEAR THREATENED in South Asia  ,"India Near Threatened 
Nepal Near Threatened 
Pakistan  Data Deficient ",Eptesicus_serotinus_map.pdf,"Vespertilio serotinus  Schreber, 1774
Eptesicus serotinus pashtonus  Gaisler, 1970
Scotophilus pachyomus  Tomes, 1857
Vespertilio turcomanus  Eversmann, 1840",Serotine Thick-eared Bat ,Vespertilionidae,"Solitary or in small numbers, insectivorous. ","Caves and cracks in rocks, rocky riverines, montane. ","Tree hollows, caves and cracks in rocks. 462-2338m. ",,"W Europe through S. Asiatic Russia to Himalayas, Thailand and China, north to Korea, Taiwan, S. England, N. Africa, most islands in Mediterranean; perhaps sub-Saharan Africa, India, Nepal, Pakistan, Tibet, Afghanistan (Himalayan tracts). ","AFGHANISTAN: Faizabad, Jalalabad, Kund, Tschaga Serail: INDIA: Assam: Darrang, Lakimpur; Jammu & Kashmir: Akhnoor, Bhaderwah, Pahlgam, Shar; Nagaland: Takubama; Rajasthan: no fixed locality; Uttar Pradesh: near Mussoorie; NEPAL: Makalu Barun National Park, Tumlingter; PAKISTAN: NWFP Karakar Pass ","> 20,000 sq km.   
Migration regions - Known for its long distance migration. ","> 2,000 sq km. Estimated based on 15 locations, foraging distance of 5 km. and assuming that all localities still exist.",18 / not known. Fragmented. ,"Decrease in area >10% in 5 years due to deforestation, mining (quarry), roads, buildings replacing thatched houses and loss of habitat. Decrease in quality. ","Literature, field study; observed, inferred; range of opinion.  Based on group opinion of possible existence in western Nepal, with no recorded location, it is assumed that the locations are fragmented.",,"Exploitation, traditional medicine in Assam, habitat destruction.  Threats are well understood, are reversible but have not ceased.",,"Field study; observed, inferred.",,Not known,Not known,Not known,,,"NEAR THREATENED  
Although widely distributed, habitat change and destruction could have an impact on the populations in the future.  The species is not vert common and due to its patchy distribution it is Near Threatened.",,"India Near Threatened 
Nepal Near Threatened 
Pakistan  Data Deficient ",Assessed based on evidence and precaution and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,NEPAL: Makulu Barun National Park ,,"Survey, ecology","Monitoring, habitat management",,WWF India - Biodiversity of Jammu and Kashmir reports this species to be uncommon in Kashmir. ,"Debojit Phukan, Biological Information sheet; Bates & Harrison, 1997; Shrestha, 1997; WWF – India, 1997","S. Mistry, M. Muni, K.R. Senacha, T.K. Shrestha, K.S. Sreepada, C. Srinivasulu",Rest of the participants,"T.K. Shrestha in Makalu Barun, Nepal, 1997-99, Mammals of Nepal
D. Phukan in Dhakuakhana, Gogamukh, Jonai, 1999-2001, Habitat and Population studies"
"Eptesicus tateiEllerman and Morrison-Scott, 1951 ",BAT8,Endemic to South Asia (India) ,DATA DEFICIENT  ,,Eptesicus_tatei_map.pdf,"Nycticieius atratus  Blyth, 1863 ",Sombre Bat ,Vespertilionidae,Insectivorous,Wet montane forest,,,Endemic to South Asia (India) ,INDIA: West Bengal Darjeeling ,Not known,Not known,1 / not known,Not known,"Literature, museum; inferred",,Not known,,,,Not known,Not known,Not known,,,DATA DEFICIENT  ,Data Deficient ,,Assessed based on evidence and on the consensus of field biologists.,,Data Deficient,Data Deficient,,Not listed,None,,"Survey, taxonomic research; life history, PHVA ","Monitoring, habitat management, public awareness",,"Further taxonomic research is needed to determine whether it is a true species. If yes, surveys within Darjeeling district should be undertaken to determine whether the bat still exists.  A candidate for research priority studies. Collected from only one locality. Only one source of information. ","Ellerman & Morrison-Scott, 1951; Wilson & Reeder, 1993; Bates & Harrison 1997; Agrawal  et al., 1992","P.J.J. Bates, P.C.M.B. Digana, S. Kandula, G. Nair, R. Rajashekar, E.A.A. Shukkur, A. Thabah, W. Yapa",Rest of the participants,None
"Harpiocephalus harpia (Temminck, 1840)",BAT14,Non Endemic to South Asia,NEAR THREATENED  in South Asia  ,"Bhutan  Data Deficient 
India  Near Threatened ",Haripiocephalus_harpia_map.pdf,"Vespertilio harpia  Temminck, 1840
Harpiocephalus harpia madrassius  Thomas, 1923
Harpiocephalus rufus  Gray, 1842
Lasiurus pearsoni  Horsifield, 1851
Noctulinia lasyurus  Hodgson, 1847",Hairy-winged Bat,Vespertilionidae,Solitary,"Foothills, waterpools, valley covered with tall trees. ",Up to 1600m.,,"India to Taiwan, Vietnam, east to Indonesia, south to Molucca Islands, Java and Lesser Sunda.","BHUTAN; BHUTAN Duars: INDIA: Assam: Ripu; Kerala: Baliaparathodu, Malabar Coast, No exact locality; Meghalaya: Cherrapunji, Mawphlang; Mizoram: Sangao; Sikkim: Rivers Tackchom/Ro Ro; Tamil Nadu: Perumal; West Bengal: Darjeeling, Ghum, Hasimara, Karsiyang, Kurseong, Teesta Valley, Tong Song ","> 20,000 sq km. Inferred based on literature",">2,000 sq km. Inferred based on literature",Many. Fragmented.  ,< 10% decrease in the last 10 years due to deforestation. Decrease in quality due to deforestation. ,"Literature; inferred, observed.",,"Habitat loss, deforestation",,Field study; inferred.,,4-6 years,"> 10,000. <10% decline in the number of mature individuals predicted in the future due to habitat loss.",Trends not known,Literature; inferred,,"NEAR THREATENED  
Deforestation has a heavy influence on the species. Reduction of the population is predicted due to human interference. Being a solitary species, careful survey is essential. No current recordings of this species in the forested areas of Kerala and Megalaya.",,"Bhutan  Data Deficient 
India  Near Threatened ",Assessed based on evidence and precaution and on the consensus of field biologists.,,Not Evaluated,,,Not listed,None,,"Survey; life history, ecological research. ","Monitoring, habitat management, public awareness",,"Harpiocephalus mordax is no more considered to be a synomym of H. harpia and is a different species [Corbet & Hill, 1992].  Treated as Meghalaya specimen Harpiocephala mordax (Thomas, 1923).  Specific habitat mentioned for tall trees has to be noted. Mandal et al., 1996. More specimens in collection from Mizoram. No recent sightings.  Das, 1986 reviewed the status of the forms described under genus Harpiocephalus and later Corbet and Hill, 1992 opined that specimens from northeastern India are H. mordax Thomas, 1923.  Thus presently Harpiocepahlus is not considered as monospecific as has been considered by Koopman, 1993 after the consensus of workshop participants.  However, it is to be noted that Bates & Harrison (1997) treated Harpiocephalus as a monospecific genus.","Temminck, 1840; Wilson & Reeder, 1993; Bates & Harrison 1997; Sinha, 1999.","A.C. Girish, J.K. Immanuel, S. Kandula, V.S. Korad, G. Nair, P.T. Nathan, A. Nobel, J.K. Raj, R. Rajashekar, K. Seedikkoya, T.K. Shrestha, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participants,None
"Harpiocephalus mordax Thomas, 1923   Data Deficient in South Asia",BAT15,Non Endemic to South Asia,DATA DEFICIENT  in South Asia  ,India   Data Deficient ,Haripiocephalus_mordax_map.pdf,,Hairy-winged Bat ,Vespertilionidae,Solitary,Forest,Not known,,"India to Taiwan, Vietnam, Molucca Islands, Java and Lesser Sunda islands.", ,Not known,,Not known,Deforestation,Infered.,,"Deforestation. Threat not well understood, not known to be reversible and has not ceased.",,Indirect information; inferred.,,Not known,Not known,Not known,,,DATA DEFICIENT  ,Not Evaluated,India   Data Deficient ,Assessed based on evidence and on the consensus of field biologists.,,Lower Risk near threatened,,,Not listed,None,,"Taxonomic study, survey","Habitat management, monitoring",,"No recent data. As previously included in Harpiocephalus harpia it is unclear which localities refer to which species.  Clarification is needed in relation to taxonomy, distribution of the species, habitat and threats.","Bates & Harrison, 1997, Thomas, 1923","M.A. Ali, P.J.J. Bates, Y.P. Sinha, K.M. Swe, A. Thabah",Rest of the participants,None
"Hesperoptenus tickelli (Blyth, 1851)",BAT16,Non Endemic to South Asia,LEAST CONCERN  in South Asia  ,"Bhutan Data Deficient 
India Least Concern 
Nepal Data Deficient 
Sri Lanka Near Threatened ",Hesperoptenus_tickelli_map.pdf,"Nycticejus tickelli  Blyth, 1851
Nycticejus isabellinus Kelaart, 1850",Assamese: Chunga baduli  English: Tickell's Bat,Vespertilionidae,Solitary in foliage; high flying. ,"Common in low lands and paddy fields, dry and wet zones. ",Large folliage; up to 1000m. ,,"India, Sri Lanka, Nepal, Bhutan, Myanmar, Thailand, and perhaps Southwest China","BHUTAN: Bhutan Duars; INDIA: Andaman & Nicobar Islands: Diglipur-South Andaman-Andaman Islands, Long Island-Middle Andaman, Wrightmyo-Andaman Islands; Assam: Assam; Bihar: Chaibassa; Goa: Molem; Karnataka: Astoli, Dharwar, Hulekad-sirsi, Potoli, Samasgi, Yellapur; Madhya Pradesh: Jashpur; Maharashtra: Chahade, Bombay, Poona; Orissa: Kasipur, Koira; Rajasthan: Nusserabad; West Bengal: Bharnabari, Hasimara; MYANMAR (NORTHERN): Moulmein; NEPAL: Dan-Deokhuri; SRI LANKA: Anuradhapura Province: Anasigalla; Central Province: Kandy, Kumbalgamuwa, Peradeniya, Sigiriya; Northern Province: Cheddikulam; North Central Province: Alakanagoda, Anuradhapura; North Western Province: Wariyapola; Sabaragamuwa Province: Madola; Southern Province: Bentota, Talgasmankande; Uva Province: Bibile, Passara; Western Province: Dehiwala, Kalutara ","> 20,000 sq km. Inferred based on literature","> 2,001 sq km. Inferred based on literature",Many. Fragmented.,< 10% decrease in habitat in the past 10 years. < 10% decline predicted in the next 10 years due to deforestation in highlands and human habitation in lowlands. There is decrease in quality due to low land human habitation and highland destruction.,"Literature, Indirect information; inferred.",,"Habitat loss, deforestation, exploitation, hunting, hunting for medicine, human interference",Unknown,Field study; inferred.,,Unknown,"> 10,000. Mature individuals have declined by <10% and will decline by <10% in the next 10 years due to habitat loss.","> 10,000. ",Literature; inferred; 95% confidence.,,LEAST CONCERN  ,,"Bhutan Data Deficient 
India Least Concern 
Nepal Data Deficient 
Sri Lanka Near Threatened ","Assessed based on evidence, inference and on the consensus of field biologists.",,,Lower Risk least concern,,Not listed,None,,"Survey, life history, limiting factor research, ecology, PHVA","Monitoring, habitat management, public awareness",,"Y.P. Sinha 1986 made collections of species other than Hesperoptenus tickelii from Chaibassa, Jharkhand (type locality tickelli - Andersen, 1881).  It's a known high flyer, hence rare in recent collections, no recent information. Could be considered to have a stable population in India. However, work done by Dr. Yapa didn't find any specimens of this species in Sri Lanka in the past years and hence could be Near Threatened.  Recommended for call recognition survey using bat detector. Shrestha has not recorded this species from Nepal. Population numbers are based on wide distribution.","Blyth, 1851; Debojit Phukan, Unpublished Biological Information Sheet; Phillips, 1980; Shrestha, 1997; Wilson & Reeder, 1993","A.C. Girish, J.K. Immanuel, S. Kandula, V.S. Korad, G. Nair, P.T. Nathan, A. Nobel, J.K. Raj, R. Rajashekar, K. Seedikkoya, T.K. Shrestha, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participants,"W. Yapa and P.C.M.B. Digana in Sri Lanka, 1996-1999, survey and ecological studies.
D. Phukan in Assam, 1999-2000, Presence, population, habitat and behaviour. "
"Hipposideros armiger (Hodgson, 1835)",BAT21,Non Endemic to South Asia,LEAST CONCERN  in South Asia  ,"India Least Concern 
Nepal Least Concern ",Hipposideros_armiger_map.pdf,"Rhinolophus armiger  Hodgson, 1835",Great Himalayan Leaf-nosed Bat ,Hipposideridae,,Montane forest. ,"Cave, Lofts of houses. 1000-2500m. ",,"India, Nepal, Myanmar","INDIA: Assam: Rajapara; Manipur: Temenglong; Meghalaya: Cherrapunji, Dura Bandara, Garo hills, Jaintia hills, Khasia hills, Konshnong, Laitkynsao, Shangpung, Shillong; Sikkim: Hee Gyanthang, Rongli; Uttar Pradesh: Bageswar, Katarmal, Mussoorie; West Bengal: Goonati, Gopaldhara, Lopchu, Mahanandi Wildlife Sanctuary, Nimbong, Pashok, Tong Song; MYANMAR (NORTHERN): Chin Hills, Gokteik, Hai Bum, Kauktaung, Kayan state, Mamsam Falls, Mon state, Pyaunggaung, Shan state; NEPAL: Bachek, Bimalnagar, Bouzini, Dano Kharka, Gari, Godavari, Hathiban, Kathmandu Valley, near Baglung, near Pokhara, Num, Pattibhagan, Syangja","> 20,000 sq km.","> 2,000 sq km.",34 / not known.  May not be fragmented.,Decline in area and quality due to habitat loss (disturbance to caves) and deforestation,"Field studies, indirect information; observed, inferred.",,"Habitat loss, deforestation (past), disturbance to caves. The influence on the population well understood, not reversible and have not ceased to be a threat.",,"Field study, indirect information; observed, inferred.",,4-6 years,"> 10,000.",<10% decline in the last 10 years. <10% decline predicted in the future.,"Field study, indirect information; inferred, predicted.",,LEAST CONCERN  ,,"India Least Concern 
Nepal Least Concern ","Assessed based on evidence, inference and on the consensus of field biologists.",,Not Evaluated,Lower Risk least concern,,Not listed,"INDIA: Mahanandi Wildlife Sanctuary, West Bengal",,Survey,Monitoring,,,"Bates & Harrison, 1997; Hodgson, 1835","S. Mistry, K.R. Senacha, T.K. Shrestha, Y.P. Sinha, S. Sreepada, C. Srinivasulu, C.",Rest of the participants,"K.M. Swe in Myanmar, 2000-2001
S. Mistry in Sikkim, 1992
P.J. J. Bates in Mussourie, 1993
A. Thabah in Meghalaya, 2001"
"Hipposideros ater Templeton, 1848",BAT22,Non Endemic to South Asia,LEAST CONCERN  in South Asia  ,"India  Least Concern 
Sri Lanka  Least Concern ",Hipposideros_ater_map.pdf,"Hipposideros amboiensis  Peters, 1871
Hipposideros atratus  Kelaart, 1850
Hipposideros nicobarulae  Miller, 1902","Sinhalese: Dwiwarna pathra nas wawalu  English: Bi coloured Leaf-nosed Bat, Dusky Leaf-nosed Bat",Hipposideridae,Colonial. ,"Ruins, village houses, old dwellings, abandoned mines. ",90m.,,"Sri Lanka, India to W. Malaysia, through Philippines, Indonesia and New Guinea to Australia ","INDIA: Andaman & Nicobar islands: Little Nicobar Isl-Nicobar Islands, Nankauri-Nicobar Islands, Campbell Bay-Nicobar Islands, Camorta Island-Nicobar Islands, Car Nicobar-Nicobar Islands; Karnataka: Dharwar, Hanumanhalli, Lingasugur, ?Therhalli; Kerala: Ernakulam, Thrissur, Trivandrum; Madhya Pradesh: Guwarghat; Maharashtra: Marathwada, Nanded; Meghalaya: Cherrapunji; Orissa: Konark; Tamil Nadu: Cheranmahadevi, Cumbum , Ilayangudi, Krishnapuram, Kurukkuthurai, Kurumbapatti, Madras, Madurai, Palayamkottai, Sattupathu, Tirthamalai, Tirunelveli Junction; SRI LANKA: Eastern Province: Trincomalee, Valaichenai; Matara Province: Rathnapura; North Central Province: Anuradhapura, Kaduganava, Kandy, Medamahanuwera, Peradeniya, Rattota; North Western Province: Kurenegala, Puttalum; Sabaragamuwa Province: Pelmadulla; Western Province: Anasigalla, Colombo, Dehiwala, Kalutara, Matugama, Negombo","> 20,000 sq km.","> 2,000 sq km.",Many.  Contiguous.,Probably stable since the bat uses human habitations and abandoned buildings and mines.,"Field study, indirect indirect information; observed, inferred.",,"Human interference, human disturbance",,Field study; inferred.,,4-6 years,"> 10,000",Population stable.,Indirect information; inferred.,,LEAST CONCERN  ,,"India  Least Concern 
Sri Lanka  Least Concern ","Assessed based on evidence, inference and on the consensus of field biologists.",,Not Evaluated,Lower Risk least concern,,Not listed,None,,Threat impact,Monitoring,,,"Bates & Harrison, 1997; Templeton, 1848; Wilson & Reeder, 1993","A.C. Girish, J.K. Immanuel, S. Kandula, V.S. Korad, G. Nair, P.T. Nathan, A. Nobel, J.K. Raj, R. Rajashekar, K. Seedikkoya, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participants,"W. Yapa & P.C.M.B. Digana in Puttalum, Anuradapura, Kurunegala, Rathnapura, Sri Lanka, 1996-2000, Survey. 
D.P. Swami Doss, J.K. Immanuel, P.T. Nathan, J. Balasingh in Palayamkottai, Cheranmadevi, Krishnapuram, Tamil Nadu, 1999 
S. Kandula and G. Marimuthu in Madurai, 1989-90. 
S. Kandula, Usmaan and Rubsamani in Ilayangudi, Tamil Nadu, 1992.
J. Vanitharani in Sattupathu near Ambai; Kurukkuthurai Kalyanamandapam near town; Sarah Tucker College Dark Room, Palayamkottai; Workshop, Tirunelveli Junction, 2000 onwards
A. Madhavan in Kerala, 1985-1992."
"Hipposideros cineraceus Blyth, 1853",BAT23,Non Endemic to South Asia,NEAR THREATENED  in South Asia  ,"India Near Threatened 
Nepal Near Threatened 
Pakistan Data Deficient ",Hipposideros_cineraceus_map.pdf,"Phyllorhina micropus  Peters, 1872 ",Least Leaf-nosed Bat ,Hipposideridae,Insectivorous,Montane forests.,Tree hollows. 62-1477m. ,,"Vietnam and Borneo, adjacent small islands; probably the Philippines, India, Nepal, Myanmar","INDIA: Arunachal Pradesh: Tiki; Assam: Golaghat, Margherita; Madhya Pradesh: Jabalpur; Meghalaya: Cherrapunji, Shangpung; Uttaranchal: Dehra Dun, Mussoorie, Nimbong; West Bengal: Panigaon, Sangser; MYANMAR (NORTHERN): Gokteik, Mingun, Mogok, Nam Tamai Valley, near Sagaing; NEPAL: Kathmandu Valley; PAKISTAN: Punjab: Pind Dadan Khan ","> 20,000 sq km. Inferred based on literature","> 2,000 sq km. Estimated based on 16 locations and a foraging range of 10 km radius. ",16 / not known. Contiguous.,Decrease in area due to habitat loss. There is decrease in quality due to habitat loss.,Literature; Inferred.,,"Human interference, recreation / tourism",,Field study; inferred.,,Not known,Not known,Not known,,,"NEAR THREATENED  
Although inferred to be distributed all along the Trans-Himalaya, the species’ habitat, the montane forests are under pressure from human activities.  Due to continuing loss of habitat, the species is not completely secure.",,"India Near Threatened 
Nepal Near Threatened 
Pakistan Data Deficient ","Assessed based on evidence, inference and on the consensus of field biologists.",,Not Evaluated,Lower Risk least concern,,Not listed,None,,Survey ,Monitoring,,M. Muni reported 2 locations in southern India based on BNHS collections. These have been rejected as Hipposideros ater based on Bates & Harrison (1997).,"Blyth, 1853; Bhat & Jacob, 1990; Harshey & Chandra, 2001; Sreepada  et al., 1993; Wilson & Reeder, 1993","S. Mistry, M. Muni, K.R. Senacha, T.J. Shrestha, K.S. Sreepada, C. Srinivasulu",Rest of the participants,None
"Hipposideros diadema (E. Geoffroy, 1813)",BAT24,Non Endemic to South Asia,VULNERABLE in South Asia [D2]  ,India  Vulnerable D2 ,Hipposideros_diadema_map.pdf,"Rhinolophus diadema  E. Geoffroy, 1813
Phyllorhina nicobarensis  Dobson, 1871",Diadem Leaf-nosed Bat,Hipposideridae,Insectivorous. ,Cave on sea shore. ,"Natural caves, crevices and hollows in trees, sea level. ",,"India, Burma and Vietnam through Thailand, Malaysia and Indonesia to New Guinea, Bismark Arch., Solomon Is. Australia, Philippines","INDIA: Andaman & Nicobar Islands: Trinkut, Nicobar Islands",< 100 sq km. Inferred based on literature.,< 100 sq km. ,1,Not known ,Literature; inferred.,,Possible threats include loss of habitat or human predation for food. ,,Indirect information; inferred.,,Not known,Not known,Not known,,,"VULNERABLE  D2  
Although there is only one population with an extremely restricted range, nothing is known about the population size or its trend. Only known from one island in the Nicobars.",Not Evaluated,India  Vulnerable D2 ,"Assessed based on inference, precaution and on the consensus of field biologists.",,Not Evaluated,Lower Risk least concern,,Not listed,None,,"Survey, taxonomic research; limiting factor research, ecological studies. ","Habitat management, monitoring",Techniques not known at all. ,"The local subspecies(= nicobarensis) is unique to the Nicobar Islands. It is characterized by its very small size relative to H. ater populations. Since the local population is an endemic and a well-defined subspecies, it is a priority for further research and possible conservation measures.  ","Bates & Harrison, 1997; Dobson, 1871; Geoffroy, 1813; Wilson & Reeder, 1993","P.J.J. Bates, A.C. Girish, J.K. Immanuel, S. Kandula, V.S. Korad, D. Koya, P.T. Nathan, A. Nobel, J.K. Raj, R. Rajashekar, K. Seedikkoya, E.A. A. Shukkur, D. P. Swamidoss, W. Yapa",Rest of the participants,None
"Hipposideros durgadasi (Khajuria, 1970) ",BAT17,Endemic to India,ENDANGERED [D] ,,Hipposideros_durgadasi_map.pdf,"Hipposideros cineraceus durgadasi  Khajuria, 1970 ",Khajuria's Leaf-nosed Bat ,Hipposideridae,"Insectivorous (mainly beetles and crickets), nocturnal. ",Caves - natural and artificial.,"Cave-dwelling, 200m. ",,Endemic to India,"INDIA: Madhya Pradesh: Katangi, Richhai ","101-5,000 sq km.",11-500 sq km.  Assuming foraging radius as 10km the area of occupancy is less than 500 sq km.,2 / 1.  Contiguous since the locations are close by.,Habitat change not known. ,"Literature; inferred, suspected; range of opinion.",,Habitat loss is a probable threat,"Field study, indirect information; inferred.",,, 5-7 years,< 200,Not known,Literature; estimated,,"ENDANGERED  D 
Since known only from two locations and the probable threats identified due to human habitation, a higher threat category of Endangered has been accorded rather than a precautionary category of Vulnerable (D2) as proposed in the earlier version.","Vulnerable  B1+2c, D2",,"Assessed based on indirect evidence, inference and on the consensus of field biologists.",,"Vulnerable B1+2c, D2","Vulnerable  B1+2c, D2",Not listed,,None,,"Survey, genetic research, taxonomic research, life history, basic ecology, PHVA pending ","Habitat management, monitoring, public awareness, captive breeding / cultivation, preservation of live genome, ecological studies",Techniques not known at all. ,"This is a species with extremely strange distribution. It would seem certain that i) the species has a greater distribution than is currently known. ii) further taxonomic evaluation is required. Based on evaluation carried out by Khajuria, 1970, 1980, 1982 from Katangi and Rachchai in Jabalpur district, the type localities of H. durgadasi.  Population numbers based on Khajuaria's estimates.  Vulnerable with a very restricted population in a declined area of habitat. (Baillie & Groombridge, 1996). Based on information available the range of opinion was 101-5,000 sq km.  It could be less than 100 sq km. given the populations of the two locations.","Bates & Harrison, 1997; Baillie & Groombridge, 1996; Khajuria, 1970; Wilson & Reeder, 1993","S. Mistry, M. Muni, T.K. Shrestha, K.S. Sreepada, C. Srinivasulu",Rest of the participants,None
